Age,Marital_Status,Education_Level,Dependents_Count,Livestock_Presence,Personal_Vehicle_Presence,Owns_House,Owns_Farm,Farm_Size_Acres,Irrigation_Presence,Farming_Technique,Farming_Tool,Yield_2Years_Ago_Tons,Investment_2Years_Ago,Profit_2Years_Ago,Yield_1Year_Ago_Tons,Investment_1Year_Ago,Profit_1Year_Ago,Market_Trend,Crop_Name,Credit_Score,Credit_Score_Category
57,False,Primary School,5,True,False,True,True,4.36,True,Hydroponic,Hoe,17.48,1077,1333,36.17,5674,2465,Growing,Rice,611,Poor
22,False,Primary School,2,False,True,True,True,5.23,False,Hydroponic,Tractor,19.22,2371,1601,50.01,3167,2654,Declining,Soybean,489,Poor
48,True,Primary School,1,False,True,True,True,5.92,True,Conventional,Plow,46.63,3172,874,26.28,4153,2307,Declining,Wheat,304,Poor
28,False,Master,3,True,True,True,True,43.5,True,Conventional,Tractor,96.28,8856,3213,71.09,6503,5551,Declining,Wheat,831,Best
26,True,Primary School,6,True,False,True,True,7.95,False,Organic,Hoe,14.89,1240,1066,28.92,2178,2044,Stable,Rice,456,Poor
40,False,Secondary School,1,True,True,True,False,11.16,False,Hydroponic,Combine,78.63,3798,3695,77.85,5434,2678,Stable,Corn,655,Average
51,False,Secondary School,3,False,False,False,True,1.99,True,Hydroponic,Hoe,45.93,1280,1310,56.85,4509,2495,Stable,Soybean,305,Poor
32,True,Master,0,True,True,True,True,17.25,True,Organic,Hoe,52.34,6254,2976,91.38,7000,3627,Declining,Corn,824,Best
64,True,High School,0,False,True,False,True,9.75,True,Organic,Combine,18.6,4904,1929,58.64,3763,1203,Growing,Corn,399,Poor
54,True,High School,0,False,False,True,True,2.23,False,Hydroponic,Tractor,21.19,4009,1310,32.53,3962,1032,Growing,Corn,548,Poor
22,False,Secondary School,2,True,True,True,False,6.53,True,Conventional,Hoe,45.01,2508,933,32.05,3943,1408,Declining,Wheat,476,Poor
54,False,Secondary School,9,True,True,True,False,7.1,False,Conventional,Tractor,23.65,4155,1624,43.09,4801,1533,Stable,Rice,553,Poor
31,True,Master,2,True,True,True,True,25.39,True,Conventional,Tractor,93.7,6991,3230,95.99,6422,4749,Growing,Soybean,850,Best
60,False,Primary School,9,False,True,True,False,1.47,True,Conventional,Hoe,32.26,3799,1424,59.42,4731,1299,Growing,Rice,606,Poor
50,True,Primary School,7,False,True,True,True,2.63,True,Organic,Hoe,10.74,3153,1419,27.36,4874,2276,Declining,Soybean,554,Poor
35,False,Primary School,4,False,True,True,True,9.55,False,Organic,Combine,23.64,1508,1089,33.69,4157,2696,Declining,Corn,529,Poor
46,True,Primary School,3,False,False,True,True,11.71,True,Conventional,Combine,73.12,4884,1169,47.69,6530,3428,Growing,Soybean,659,Average
20,True,Primary School,0,True,False,True,False,5.34,False,Conventional,Hoe,30.65,3417,1509,34.27,2926,2183,Growing,Rice,324,Poor
38,False,Secondary School,0,False,True,True,False,1.2,False,Organic,Hoe,19.75,1015,636,28.5,2032,2451,Stable,Soybean,333,Poor
24,True,Primary School,1,True,True,True,False,15.69,True,Hydroponic,Tractor,59.09,7510,3879,47.27,7715,3010,Stable,Corn,717,Average
60,True,Secondary School,0,True,True,True,True,7.29,False,Hydroponic,Tractor,15.91,4425,1447,37.12,5112,1792,Growing,Soybean,362,Poor
33,False,Phd,7,True,True,True,False,2.76,False,Organic,Tractor,29.35,4194,917,51.86,5349,2263,Growing,Wheat,427,Poor
60,True,Master,1,False,True,True,True,45.64,True,Hydroponic,Hoe,89.96,7926,4700,97.65,8298,5377,Stable,Corn,890,Best
53,False,Primary School,0,True,True,True,False,8.07,False,Hydroponic,Combine,12.43,2049,1855,31.88,5862,1681,Stable,Wheat,375,Poor
41,False,Primary School,1,False,True,False,False,9.51,True,Hydroponic,Plow,26.73,3833,1714,21.55,2851,1173,Declining,Wheat,592,Poor
65,False,Primary School,5,False,False,False,True,8.76,True,Conventional,Hoe,27.77,2839,1282,22.26,3170,1698,Declining,Soybean,645,Poor
51,False,Primary School,7,False,False,True,False,2.97,False,Conventional,Tractor,24.29,2085,1105,25.23,5608,1878,Declining,Wheat,423,Poor
43,False,Primary School,1,False,False,True,True,1.32,True,Hydroponic,Plow,21.54,4112,1347,39.53,3420,1562,Declining,Soybean,391,Poor
36,True,Primary School,9,True,True,True,True,2.01,False,Organic,Combine,23.54,1553,1006,55.8,2758,2729,Growing,Rice,440,Poor
33,False,Primary School,4,True,False,True,True,7.12,True,Hydroponic,Plow,48.98,2181,1528,22.04,3675,1496,Stable,Corn,540,Poor
22,True,Primary School,9,True,False,True,False,4.14,True,Hydroponic,Tractor,30.33,4950,756,42.35,4604,2936,Growing,Soybean,608,Poor
24,True,Secondary School,5,True,False,True,True,8.24,True,Hydroponic,Combine,53.17,4465,3386,84.08,5143,2324,Stable,Rice,703,Average
64,True,Secondary School,10,True,True,False,True,2.27,True,Conventional,Plow,41.93,4943,790,58.89,2095,2389,Growing,Soybean,481,Poor
51,True,High School,3,False,False,False,False,18.26,True,Organic,Hoe,46.08,3183,2207,76.36,7804,3324,Declining,Rice,762,Average
65,True,Bachelor,3,True,False,True,True,45.42,True,Organic,Tractor,54.91,8065,3762,73.48,7862,5911,Declining,Corn,895,Best
52,True,Bachelor,1,True,True,True,True,21.53,True,Hydroponic,Tractor,67.17,8154,3201,63.19,7197,4067,Declining,Corn,897,Best
50,False,Secondary School,10,True,True,True,False,6.7,True,Organic,Tractor,54.02,3448,1968,74.09,7010,3300,Declining,Wheat,655,Average
25,True,Primary School,2,True,False,False,False,4.27,False,Hydroponic,Tractor,25.12,3422,1943,37.32,5989,2325,Growing,Rice,410,Poor
58,False,Primary School,4,True,False,True,False,6.02,False,Organic,Tractor,43.36,2498,891,29.15,4438,1917,Declining,Corn,617,Poor
46,True,Primary School,9,True,False,False,True,13.38,False,Organic,Combine,53.58,6612,1410,84.62,7665,1644,Stable,Corn,744,Average
59,True,Bachelor,1,True,True,True,True,35.38,True,Organic,Tractor,60.8,5954,3408,98.75,10861,5088,Declining,Corn,886,Best
43,True,High School,1,False,True,True,True,15.76,False,Conventional,Hoe,58.26,5373,3512,41.23,4324,2698,Declining,Wheat,703,Average
65,False,Primary School,5,True,False,False,False,7.51,True,Organic,Combine,21.27,1538,632,36.82,5278,1547,Declining,Rice,481,Poor
55,True,High School,1,True,False,False,True,2.23,False,Organic,Plow,38.53,4107,1792,28.19,4610,2801,Growing,Corn,540,Poor
18,False,Primary School,6,True,False,True,False,6.45,False,Organic,Combine,17.62,4577,615,38.39,2463,1176,Declining,Corn,642,Poor
39,True,Bachelor,1,True,True,True,True,38.72,True,Conventional,Tractor,97.6,5087,2435,86.65,9800,3229,Stable,Corn,830,Best
65,False,High School,8,True,True,True,False,1.68,False,Hydroponic,Plow,49.25,4998,915,43.96,2931,1497,Declining,Soybean,360,Poor
41,False,High School,6,False,True,False,True,6.1,True,Organic,Tractor,37.98,4544,1280,59.54,4279,3341,Declining,Soybean,653,Average
43,False,Secondary School,0,False,True,False,True,13.19,False,Conventional,Plow,35.43,5354,2742,59.32,4334,2911,Declining,Corn,765,Average
63,True,Primary School,0,False,True,False,True,9.93,False,Organic,Tractor,42.25,3339,902,57.98,5054,2319,Declining,Corn,637,Poor
49,False,Secondary School,0,True,True,True,False,8.05,True,Hydroponic,Combine,28.27,2572,1910,46.24,5600,1403,Stable,Wheat,322,Poor
42,True,Primary School,8,True,False,False,False,7.18,True,Hydroponic,Hoe,23.5,2852,577,51.88,2105,1149,Declining,Wheat,578,Poor
24,True,Secondary School,7,True,False,False,True,6.67,False,Hydroponic,Plow,30.07,4668,537,54.17,2356,2209,Growing,Corn,463,Poor
58,True,Primary School,8,True,True,True,True,2.44,False,Organic,Tractor,18.52,2987,1340,30.48,2756,1444,Declining,Rice,557,Poor
35,False,High School,1,False,True,True,False,7.47,False,Hydroponic,Tractor,26.03,3230,1555,54.01,3131,1878,Growing,Soybean,313,Poor
25,False,Secondary School,9,True,False,True,False,9.02,False,Organic,Combine,13.93,1938,690,52.75,4480,1701,Growing,Rice,383,Poor
33,False,Primary School,3,False,False,True,True,9.73,True,Conventional,Tractor,40.97,3728,1883,41.13,2882,1963,Growing,Wheat,375,Poor
59,False,Primary School,9,True,True,True,False,8.12,True,Conventional,Tractor,26.36,2772,536,25.94,2600,2280,Growing,Wheat,515,Poor
54,True,Primary School,5,False,False,True,True,1.99,True,Organic,Plow,27.01,3856,521,44.1,4709,2778,Growing,Wheat,556,Poor
33,False,Master,3,True,False,True,True,17.51,True,Conventional,Plow,88.95,5748,3501,80.51,7334,5063,Declining,Corn,889,Best
35,True,Primary School,5,False,False,True,True,7.49,True,Organic,Plow,49.7,3078,2142,56.94,5732,2666,Stable,Wheat,766,Average
65,False,Secondary School,10,False,False,True,False,1.79,True,Organic,Tractor,18.62,4797,669,37.66,2579,1767,Stable,Corn,417,Poor
57,False,Bachelor,3,True,False,True,True,31.77,True,Organic,Plow,74.06,9629,3345,76.92,6559,5035,Stable,Soybean,844,Best
38,True,Primary School,10,True,True,False,True,9.97,False,Hydroponic,Tractor,10.28,2832,1567,49.98,2028,1971,Growing,Wheat,557,Poor
41,True,Primary School,6,True,False,False,True,11.27,False,Hydroponic,Tractor,55.39,3428,3929,84.31,5355,2389,Growing,Wheat,756,Average
